Cms;Version;Count
?;?;101259
Wordpress;?;6531
Wordpress;5.1.1;3840
Drupal;?;3581
Wordpress;5.2;3567
Wordpress;4.9.10;2887
Drupal;7;2526
MediaWiki;1.34.0;1953
Joomla;?;1433
Wordpress;5.0.4;1030
Wordpress;4.9.8;651
Shopify;?;479
Wordpress;4.7.13;424
Wordpress;4.8.9;383
Wordpress;5.0.3;295
MediaWiki;1.19.24;289
Wordpress;5.1;179
Wordpress;4.9.7;174
Wordpress;4.9.3;170
Wordpress;4.6.14;134
Wordpress;4.9.6;125
Wordpress;4.9.5;121
Wordpress;4.9.9;121
Wordpress;4.4.18;119
Wordpress;4.9.4;109
Wordpress;4.7.5;108
Wordpress;5.0.2;77
Wordpress;4.9.1;77
MediaWiki;1.31.1;73
Wordpress;4.5.17;71
Wordpress;4.6.1;68
Wordpress;4.8;66
Wordpress;3.8.29;61
Wordpress;4.8.2;61
Wordpress;4.8.3;59
Wordpress;4.7.2;58
Wordpress;4.3.19;56
Wordpress;4.1.26;55
Wordpress;4.8.1;53
Wordpress;5.2.1;50
Wordpress;4.7.3;48
Wordpress;4.9.2;46
Wordpress;4.5.2;45
Wordpress;4.2.23;44
MediaWiki;1.27.5;44
Wordpress;5.3;41
Wordpress;4.5.3;38
Wordpress;4.4.2;34
Wordpress;5.0.1;33
Wordpress;3.5.1;32
MediaWiki;1.30.0;32
Wordpress;3.9.27;29
Wordpress;4.7.4;29
Wordpress;4.3.1;28
Wordpress;4.2.2;25
MediaWiki;1.26.2;24
Wordpress;5.0;22
Wordpress;4.0.26;22
Wordpress;3.4.2;21
MediaWiki;1.27.4;20
Wordpress;4.1;18
MediaWiki;1.21.2;18
Wordpress;3.9.1;18
Wordpress;4.9;17
Wordpress;3.4.1;16
Wordpress;4.1.1;16
MediaWiki;1.32.0;16
Drupal;8;16
Wordpress;4.7;15
MediaWiki;1.29.2;15
MediaWiki;1.231;15
MediaWiki;1.25.2;15
Wordpress;3.6.1;15
Wordpress;3.2.1;14
Wordpress;4.8.7;14
Wordpress;4.8.8;14
MediaWiki;1.31.0;14
Wordpress;4.7.11;13
Wordpress;4.0;13
MediaWiki;1.29.0;13
Wordpress;3.3.1;13
Wordpress;4.0.1;13
Wordpress;4.2.4;11
MediaWiki;1.24.1;11
Wordpress;4.6;10
Wordpress;4.8.5;10
Wordpress;4.8.6;10
MediaWiki;1.27.1;10
MediaWiki;1.15.1;10
MediaWiki;1.26.4;10
Wordpress;4.3;9
MediaWiki;1.29.1;9
MediaWiki;1.28.0;9
MediaWiki;1.28.3;9
Wordpress;3.5;9
Wordpress;4.7.6;9
Wordpress;2.9.2;9
Wordpress;2.8.4;9
MediaWiki;1.19.2;8
MediaWiki;1.32.1;8
Wordpress;4.8.4;8
MediaWiki;1.16.0;8
Wordpress;4.7.12;7
Wordpress;4.4;7
Wordpress;3.0.1;7
Wordpress;3.7.1;7
MediaWiki;1.19.20;6
Wordpress;3.6;6
MediaWiki;1.27.0;6
Wordpress;3.9.2;6
Wordpress;3.8.1;6
Wordpress;3.5.2;5
Wordpress;4.3.6;5
MediaWiki;1.19.0;5
MediaWiki;1.22.6;5
MediaWiki;1.29.3;5
MediaWiki;1.28.2;5
MediaWiki;1.27.2;5
MediaWiki;1.27.3;5
MediaWiki;1.30.1;5
Wordpress;4.6.8;5
MediaWiki;1.25.3;5
MediaWiki;1.23.15;5
Wordpress;3.7.29;5
Wordpress;4.4.1;5
MediaWiki;1.23.9;4
Wordpress;5.22;4
Wordpress;4.7.10;4
Wordpress;4.2.3;4
MediaWiki;1.22.1;4
MediaWiki;1.21.1;4
Wordpress;3.3.2;4
Wordpress;4.5;4
Wordpress;3.8;4
MediaWiki;1.20.5;4
MediaWiki;1.20.2;4
Wordpress;4.7.1;4
Wordpress;4.4.16;4
MediaWiki;1.22.15;4
Wordpress;3.0.3;4
Wordpress;4.5.15;4
MediaWiki;1.25.1;4
Wordpress;2.8.6;4
Wordpress;4.6.12;4
MediaWiki;1.23.8;3
MediaWiki;1.19.1;3
Wordpress;4.2.1;3
MediaWiki;1.22.5;3
MediaWiki;1.33.0;3
Wordpress;4.2.20;3
Wordpress;3.0;3
Wordpress;3.1;3
Wordpress;3.9;3
Wordpress;4.7.7;3
Wordpress;4.7.9;3
Wordpress;4.6.6;3
Wordpress;4.6.9;3
MediaWiki;1.26.3;3
MediaWiki;1.15.52;3
Wordpress;4.5.1;3
MediaWiki;1.23.13;3
Wordpress;2.8.5;3
MediaWiki;1.24.2;3
Wordpress;4.4.3;3
Wordpress;4.6.13;3
Wordpress;2.7.1;2
Wordpress;4.3.5;2
Wordpress;4.3.2;2
MediaWiki;1.23.1;2
MediaWiki;1.23.2;2
MediaWiki;1.23.3;2
MediaWiki;1.23.6;2
Wordpress;4.2.5;2
Wordpress;4.2.15;2
MediaWiki;1.18.0;2
Wordpress;4.1.4;2
Wordpress;4.1.8;2
MediaWiki;1.17.0;2
Wordpress;4.1.2;2
Wordpress;4.3.10;2
Wordpress;3.3;2
MediaWiki;1.20.7;2
MediaWiki;1.28.1;2
MediaWiki;1.20.0;2
Wordpress;3.4;2
Wordpress;4.3.16;2
Wordpress;4.3.18;2
MediaWiki;1.16.5;2
Wordpress;3.1.4;2
Wordpress;4.4.11;2
Wordpress;4.4.14;2
Wordpress;3.9.3;2
MediaWiki;1.15.4;2
Wordpress;2.2.1;2
Wordpress;4.6.2;2
Wordpress;4.6.4;2
Wordpress;3.8.3;2
MediaWiki;1.26.0;2
Wordpress;3.8.2;2
Wordpress;4.6.3;2
Wordpress;4.5.6;2
MediaWiki;1.25.6;2
MediaWiki;1.23.14;2
MediaWiki;1.13.1;2
Wordpress;4.4.4;2
Wordpress;4.4.8;2
Wordpress;4.6.11;2
Wordpress;4.1.12;1
Wordpress;4.1.13;1
Wordpress;4.3.4;1
Wordpress;4.3.9;1
MediaWiki;1.23.0;1
MediaWiki;1.23.5;1
Wordpress;152;1
Wordpress;4.1.15;1
Wordpress;3.8.27;1
Wordpress;3.8.28;1
Wordpress;4.1.23;1
MediaWiki;1.19.9;1
Wordpress;2.6.1;1
Wordpress;7.4.7;1
Wordpress;4.2.9;1
MediaWiki;1.22.0;1
Wordpress;3.9.12;1
Wordpress;3.9.13;1
Wordpress;2.6.2;1
MediaWiki;1.19.17;1
Wordpress;3.9.16;1
Wordpress;2.6.3;1
MediaWiki;1.19.23;1
Wordpress;3.9.24;1
MediaWiki;1.21.3;1
Drupal;8.6;1
Wordpress;4.1.9;1
Wordpress;4.2.21;1
Wordpress;4.2;1
Drupal;03;1
Wordpress;2.5.1;1
Wordpress;4.3.13;1
MediaWiki;1.20.6;1
Wordpress;3.2;1
MediaWiki;1.16.2;1
MediaWiki;1.16.3;1
Wordpress;3.1.1;1
Wordpress;2.3.1;1
Wordpress;3.1.3;1
Wordpress;2.5;1
Wordpress;3.1.2;1
Wordpress;2.7;1
Wordpress;3.9.9;1
Wordpress;3.9.8;1
Wordpress;4.4.15;1
MediaWiki;1.15.2;1
MediaWiki;1.15.3;1
Joomla;3.1;1
Wordpress;3.0.5;1
Wordpress;4.6.7;1
Wordpress;3.8.4;1
MediaWiki;1.15.51;1
MediaWiki;1.15.57;1
Drupal;7.;1
Wordpress;4.5.10;1
Wordpress;88981;1
Wordpress;4.5.16;1
Wordpress;4.5.4;1
Wordpress;4.5.8;1
Wordpress;3.7.2;1
Wordpress;4.5.7;1
Wordpress;3.7.3;1
Wordpress;4.5.5;1
MediaWiki;1.25.5;1
Wordpress;3.7.10;1
Wordpress;3.7.16;1
MediaWiki;1.23.17;1
Wordpress;4.0.18;1
Drupal;999;1
MediaWiki;1.13.3;1
Wordpress;5390;1
Wordpress;3.7.26;1
Wordpress;4.0.22;1
MediaWiki;1.20;1
MediaWiki;1.25;1
Wordpress;4.4.5;1
Wordpress;2019.21;1
Wordpress;2.8.2;1
Drupal;8.0.5;1
Wordpress;4.4.6;1
Wordpress;3.8.17;1
